SNo.,Weight (in Kg),t0,t1,t2,t3,t4,t5,t6,t7,t8,t9,t10,t11,t12,t13,t14,t15,t16,t17,t18,t19,t20,t21,t22,t23,t24,t25,t26,t27,t28,t29,t30,t31,t32,t33,t34,t35,t36,t37,t38,t39,t40,t41,t42,t43,t44,t45,t46,t47,t48,t49,t50,t51,t52,t53,t54,t55,t56,t57,t58,t59,t60,t61,t62,t63,t64,t65,t66,t67,t68,t69,t70,t71,t72,t73,t74,t75,t76,t77,t78,t79,t80,t81,t82,t83,t84,t85,t86,t87,t88,t89,t90,t91,t92,t93,t94,t95,t96,t97,t98,t99,t100,t101,t102,t103,t104,t105,t106,t107,t108,t109,t110,t111,t112,t113,t114,t115,t116,t117,t118,t119,t120,t121,t122,t123,t124,t125,t126,t127,t128,t129,t130,t131,t132,t133,t134,t135,t136,t137,t138,t139,t140,t141,t142,t143,t144,t145,t146,t147,t148,t149,t150
1,2,3.015640274,3.020527859,3.040078201,3.03030303,3.025415445,3.035190616,3.044965787,3.044965787,3.044965787,3.035190616,3.03030303,3.020527859,3.005865103,3.015640274,3.010752688,3.020527859,3.020527859,3.044965787,3.049853372,3.054740958,3.054740958,3.054740958,3.059628543,3.059628543,3.054740958,3.054740958,3.040078201,3.044965787,3.044965787,3.044965787,3.040078201,3.044965787,3.044965787,3.049853372,3.040078201,3.03030303,3.015640274,3.020527859,3.03030303,3.025415445,3.025415445,3.010752688,3.000977517,2.996089932,2.991202346,2.991202346,2.986314761,2.991202346,2.991202346,2.991202346,2.996089932,2.991202346,2.991202346,2.981427175,2.981427175,2.986314761,2.981427175,2.981427175,2.903225806,3.000977517,3.16226784,2.869012708,3.16226784,3.167155425,3.514173998,3.484848485,3.362658847,4.393939394,4.217986315,3.475073314,3.602150538,4.931573803,4.002932551,3.792766373,3.592375367,3.792766373,4.330400782,3.626588465,3.416422287,3.690127077,3.626588465,3.308895406,3.377321603,3.220918866,3.367546432,3.274682307,3.538611926,3.323558162,3.421309873,3.274682307,3.626588465,3.48973607,3.748778104,3.30400782,3.338220919,3.333333333,3.338220919,3.269794721,3.245356794,3.255131965,3.553274682,3.382209189,3.191593353,3.230694037,3.191593353,3.167155425,3.157380254,2.981427175,2.668621701,3.059628543,3.054740958,2.839687195,2.785923754,2.80058651,2.810361681,2.820136852,2.825024438,2.810361681,2.810361681,2.810361681,2.815249267,2.829912023,2.829912023,2.805474096,2.795698925,2.785923754,2.834799609,2.839687195,2.80058651,2.781036168,2.790811339,2.751710655,2.761485826,2.761485826,2.712609971,2.717497556,2.761485826,2.781036168,2.795698925,2.790811339,2.815249267,2.820136852,2.825024438,2.820136852,2.810361681,2.810361681,2.820136852,2.864125122,2.893450635,2.893450635,2.873900293
2,2,3.000977517,3.020527859,3.054740958,3.0742913,3.084066471,3.113391984,3.123167155,3.128054741,3.123167155,3.088954057,3.049853372,3.025415445,3.035190616,3.044965787,3.025415445,3.000977517,2.991202346,2.981427175,2.956989247,2.961876833,2.947214076,2.927663734,2.937438905,2.917888563,2.961876833,2.971652004,2.961876833,2.947214076,2.952101662,2.937438905,2.93255132,2.922776149,2.913000978,2.908113392,2.927663734,2.922776149,2.893450635,2.864125122,2.854349951,2.864125122,2.859237537,2.84457478,2.834799609,2.815249267,2.815249267,2.820136852,2.849462366,2.849462366,2.849462366,2.834799609,2.825024438,2.751710655,2.448680352,3.088954057,3.636363636,3.641251222,3.841642229,4.164222874,4.437927664,3.831867058,3.411534702,3.132942326,3.382209189,3.919843597,3.826979472,3.279569892,3.572825024,3.812316716,3.220918866,3.235581623,3.450635386,3.450635386,3.240469208,3.279569892,3.279569892,3.294232649,3.137829912,3.142717498,2.903225806,3.005865103,2.913000978,2.971652004,3.323558162,3.998044966,4.071358749,4.042033236,3.983382209,4.736070381,4.086021505,4.569892473,3.998044966,4.022482893,3.48973607,3.494623656,3.318670577,3.235581623,3.30400782,3.211143695,2.981427175,3.137829912,2.947214076,3.025415445,3.035190616,2.947214076,2.810361681,2.65884653,2.829912023,2.722385142,2.697947214,2.727272727,2.771260997,2.732160313,2.712609971,2.712609971,2.737047898,2.751710655,2.746823069,2.761485826,2.781036168,2.761485826,2.790811339,2.849462366,2.790811339,2.751710655,2.785923754,2.859237537,2.903225806,2.898338221,2.917888563,2.937438905,2.956989247,2.927663734,2.922776149,2.922776149,2.942326491,2.947214076,2.976539589,2.986314761,2.942326491,2.903225806,2.913000978,2.956989247,2.956989247,2.956989247,2.952101662,2.927663734,2.961876833,2.986314761,2.956989247,2.93255132,2.927663734
3,2,2.634408602,2.609970674,2.732160313,2.683284457,2.761485826,2.649071359,2.893450635,2.839687195,2.785923754,2.683284457,2.624633431,2.634408602,2.653958944,2.634408602,2.644183773,2.580645161,2.609970674,2.629521017,2.541544477,2.653958944,2.61485826,2.697947214,2.771260997,2.849462366,2.869012708,2.898338221,2.917888563,2.913000978,2.937438905,2.942326491,2.947214076,2.942326491,2.942326491,2.961876833,2.966764418,2.966764418,2.981427175,2.976539589,2.996089932,2.976539589,2.952101662,2.913000978,2.922776149,2.917888563,2.917888563,2.927663734,2.917888563,2.883675464,3.010752688,2.086999022,2.512218964,5,5,4.613880743,4.261974585,3.797653959,4.071358749,3.523949169,3.758553275,4.188660802,4.002932551,4.296187683,3.48973607,3.572825024,3.914956012,3.514173998,4.227761486,3.611925709,3.279569892,3.680351906,3.445747801,3.025415445,3.729227761,3.836754643,4.736070381,4.423264907,3.866080156,3.914956012,3.509286413,3.773216031,3.30400782,3.426197458,3.240469208,3.250244379,3.049853372,3.000977517,2.991202346,3.421309873,3.817204301,3.264907136,3.396871945,3.225806452,3.147605083,3.255131965,3.054740958,2.864125122,3.035190616,2.952101662,2.961876833,3.010752688,3.020527859,2.771260997,2.805474096,2.766373412,2.820136852,2.908113392,2.820136852,2.849462366,2.898338221,2.903225806,2.961876833,2.956989247,2.971652004,2.976539589,2.966764418,2.966764418,2.961876833,2.93255132,2.942326491,2.93255132,2.913000978,2.908113392,2.903225806,2.917888563,2.927663734,2.917888563,2.893450635,2.88856305,2.878787879,2.898338221,2.908113392,2.883675464,2.878787879,2.859237537,2.839687195,2.795698925,2.785923754,2.815249267,2.805474096,2.805474096,2.805474096,2.805474096,2.805474096,2.810361681,2.825024438,2.829912023,2.829912023,2.825024438,2.825024438,2.820136852,2.810361681
4,2,2.849462366,2.893450635,2.883675464,2.893450635,2.898338221,2.898338221,2.903225806,2.93255132,2.956989247,2.956989247,2.947214076,2.947214076,2.956989247,2.942326491,2.947214076,2.956989247,2.93255132,2.942326491,2.937438905,2.947214076,2.952101662,2.952101662,2.952101662,2.956989247,2.952101662,2.956989247,2.956989247,2.961876833,2.966764418,2.952101662,2.956989247,2.971652004,2.947214076,2.937438905,2.937438905,2.927663734,2.922776149,2.93255132,2.942326491,2.942326491,2.952101662,2.956989247,2.961876833,2.971652004,2.971652004,2.961876833,2.966764418,2.971652004,2.869012708,2.966764418,2.825024438,3.421309873,3.323558162,3.626588465,4.491691105,4.501466276,4.139784946,5,4.051808407,4.594330401,4.076246334,3.494623656,3.611925709,3.504398827,3.411534702,3.861192571,4.481915934,5,3.558162268,4.056695992,3.582600196,3.328445748,2.986314761,2.898338221,4.794721408,3.99315738,4.173998045,3.870967742,4.17888563,3.416422287,3.856304985,3.30400782,4.359726295,3.988269795,3.973607038,3.905180841,4.213098729,4.750733138,3.866080156,3.861192571,3.245356794,3.523949169,3.137829912,3.870967742,3.387096774,3.450635386,3.191593353,2.956989247,3.958944282,3.484848485,3.142717498,3.167155425,3.196480938,2.815249267,2.854349951,2.697947214,2.502443793,2.580645161,2.741935484,2.93255132,2.942326491,2.942326491,2.942326491,2.88856305,2.956989247,2.913000978,2.864125122,2.913000978,2.952101662,2.966764418,2.947214076,2.952101662,2.961876833,2.961876833,2.952101662,2.93255132,2.854349951,2.829912023,2.810361681,2.805474096,2.815249267,2.810361681,2.795698925,2.781036168,2.80058651,2.785923754,2.761485826,2.732160313,2.722385142,2.737047898,2.732160313,2.688172043,2.673509286,2.678396872,2.7028348,2.717497556,2.712609971,2.737047898,2.741935484,2.722385142,2.707722385
5,2,2.854349951,2.722385142,2.80058651,2.805474096,2.776148583,2.776148583,2.771260997,2.781036168,2.80058651,2.815249267,2.825024438,2.839687195,2.820136852,2.815249267,2.815249267,2.795698925,2.795698925,2.80058651,2.805474096,2.810361681,2.839687195,2.873900293,2.834799609,2.820136852,2.80058651,2.88856305,2.839687195,2.84457478,2.829912023,2.825024438,2.834799609,2.825024438,2.829912023,2.825024438,2.839687195,2.829912023,2.829912023,2.790811339,2.795698925,2.790811339,2.790811339,2.781036168,2.776148583,2.781036168,2.790811339,2.761485826,2.75659824,2.722385142,2.722385142,2.722385142,2.663734115,2.512218964,2.663734115,3.714565005,3.89540567,3.313782991,4.755620723,4.208211144,3.450635386,4.017595308,3.147605083,3.152492669,3.382209189,3.602150538,4.115347019,3.934506354,3.567937439,4.530791789,3.841642229,3.973607038,3.680351906,4.853372434,4.428152493,3.519061584,3.611925709,3.269794721,3.509286413,3.958944282,3.792766373,3.812316716,3.826979472,3.475073314,3.196480938,3.084066471,2.873900293,3.059628543,3.768328446,3.538611926,3.875855327,3.367546432,2.956989247,2.952101662,2.991202346,2.864125122,2.785923754,2.903225806,2.75659824,2.859237537,3.191593353,2.93255132,2.917888563,2.751710655,2.790811339,2.810361681,2.47311828,2.272727273,2.15542522,2.355816227,2.487781036,2.443792766,2.394916911,2.390029326,2.419354839,2.394916911,2.404692082,2.419354839,2.424242424,2.404692082,2.409579668,2.424242424,2.42913001,2.414467253,2.414467253,2.42913001,2.438905181,2.443792766,2.448680352,2.448680352,2.438905181,2.424242424,2.434017595,2.414467253,2.438905181,2.478005865,2.482893451,2.507331378,2.536656891,2.517106549,2.521994135,2.531769306,2.517106549,2.507331378,2.502443793,2.502443793,2.497556207,2.497556207,2.502443793,2.521994135,2.536656891,2.541544477,2.536656891
6,2,2.820136852,2.766373412,2.790811339,2.878787879,2.878787879,2.815249267,2.849462366,2.922776149,2.903225806,2.869012708,2.893450635,2.966764418,2.971652004,2.961876833,2.996089932,2.971652004,2.981427175,3.03030303,2.966764418,2.93255132,2.922776149,2.947214076,2.971652004,2.986314761,3.005865103,3.015640274,3.040078201,3.059628543,3.0742913,3.098729228,3.098729228,3.084066471,3.069403715,3.040078201,3.035190616,3.040078201,3.044965787,3.064516129,3.054740958,3.049853372,3.044965787,3.015640274,3.000977517,2.991202346,3.010752688,2.991202346,2.966764418,2.93255132,2.922776149,2.971652004,2.854349951,2.913000978,3.128054741,3.465298143,3.460410557,3.142717498,2.971652004,3.005865103,3.699902248,3.362658847,3.538611926,3.069403715,2.991202346,2.785923754,3.010752688,2.75659824,2.820136852,2.815249267,2.815249267,2.84457478,3.201368524,2.966764418,3.343108504,3.16226784,3.934506354,3.641251222,3.333333333,3.113391984,3.34799609,3.113391984,3.010752688,2.927663734,3.132942326,2.873900293,3.025415445,3.870967742,4.521016618,3.020527859,3.328445748,3.26001955,2.776148583,3.636363636,3.225806452,2.93255132,3.020527859,2.878787879,2.898338221,3.675464321,3.39198436,3.651026393,3.040078201,3.054740958,2.805474096,2.810361681,2.829912023,2.810361681,2.75659824,2.688172043,2.849462366,2.810361681,2.688172043,2.42913001,2.38514174,2.585532747,2.561094819,2.507331378,2.448680352,2.463343109,2.482893451,2.536656891,2.595307918,2.61485826,2.639296188,2.678396872,2.722385142,2.707722385,2.7028348,2.683284457,2.668621701,2.678396872,2.663734115,2.668621701,2.673509286,2.678396872,2.678396872,2.683284457,2.683284457,2.595307918,2.65884653,2.65884653,2.663734115,2.668621701,2.668621701,2.668621701,2.673509286,2.668621701,2.693059629,2.7028348,2.717497556,2.727272727,2.7028348
7,2,2.893450635,2.913000978,2.922776149,2.922776149,2.917888563,2.956989247,2.991202346,2.966764418,2.971652004,2.966764418,2.966764418,2.966764418,2.971652004,2.966764418,2.976539589,2.976539589,2.976539589,2.981427175,2.981427175,2.981427175,2.986314761,2.986314761,2.996089932,2.952101662,3.000977517,3.015640274,3.010752688,2.991202346,2.991202346,2.976539589,2.961876833,2.966764418,2.966764418,2.927663734,2.976539589,2.991202346,3.000977517,3.005865103,3.005865103,2.996089932,2.981427175,2.971652004,2.981427175,2.996089932,2.961876833,2.947214076,2.937438905,2.956989247,2.981427175,2.996089932,3.010752688,2.551319648,2.609970674,4.03714565,3.494623656,3.597262952,3.66568915,4.291300098,3.299120235,4.457478006,3.48973607,4.281524927,4.389051808,4.340175953,3.685239492,3.651026393,3.509286413,3.641251222,4.134897361,3.43597263,4.442815249,3.753665689,4.398826979,4.2228739,3.734115347,4.066471163,3.758553275,3.30400782,3.377321603,3.567937439,3.875855327,3.333333333,4.49657869,3.421309873,3.509286413,3.123167155,3.968719453,3.797653959,3.739002933,3.387096774,4.066471163,3.528836755,3.396871945,4.921798631,4.599217986,3.724340176,3.802541544,3.567937439,3.89540567,3.230694037,3.088954057,3.812316716,3.563049853,3.352883675,2.927663734,2.898338221,2.883675464,2.820136852,2.65884653,2.380254154,2.390029326,2.644183773,2.722385142,2.727272727,2.707722385,2.707722385,2.712609971,2.697947214,2.697947214,2.712609971,2.712609971,2.727272727,2.732160313,2.737047898,2.741935484,2.741935484,2.722385142,2.717497556,2.707722385,2.7028348,2.697947214,2.727272727,2.732160313,2.746823069,2.737047898,2.75659824,2.75659824,2.75659824,2.761485826,2.761485826,2.751710655,2.75659824,2.761485826,2.771260997,2.771260997,2.771260997,2.781036168,2.781036168,2.80058651,2.785923754,2.776148583
8,2,2.869012708,2.859237537,2.854349951,2.878787879,2.908113392,2.947214076,2.966764418,3.015640274,3.049853372,3.0742913,3.054740958,2.976539589,2.947214076,2.908113392,2.84457478,2.849462366,2.878787879,2.805474096,2.761485826,2.7028348,2.653958944,2.717497556,2.75659824,2.741935484,2.859237537,2.829912023,2.80058651,2.825024438,2.849462366,2.839687195,2.869012708,2.883675464,2.88856305,2.88856305,2.893450635,2.88856305,2.878787879,2.873900293,2.883675464,2.878787879,2.873900293,2.869012708,2.839687195,2.873900293,2.869012708,2.869012708,2.869012708,2.869012708,2.864125122,2.785923754,1.681329423,3.025415445,3.739002933,4.45259042,4.408602151,4.68230694,4.056695992,3.954056696,4.364613881,3.675464321,3.465298143,4.017595308,3.680351906,3.450635386,3.294232649,3.479960899,3.054740958,3.313782991,5,4.217986315,4.261974585,3.739002933,3.914956012,3.592375367,3.582600196,3.230694037,3.39198436,3.748778104,3.191593353,3.167155425,3.191593353,3.611925709,4.061583578,3.739002933,3.748778104,3.714565005,3.000977517,3.123167155,3.123167155,3.098729228,3.220918866,3.069403715,2.996089932,2.986314761,3.255131965,3.186705767,3.543499511,3.025415445,3.484848485,2.873900293,2.908113392,3.113391984,2.898338221,2.746823069,2.360703812,2.380254154,2.717497556,2.644183773,2.605083089,2.512218964,2.531769306,2.52688172,2.649071359,2.663734115,2.663734115,2.688172043,2.727272727,2.727272727,2.722385142,2.722385142,2.771260997,2.673509286,2.776148583,2.790811339,2.781036168,2.790811339,2.771260997,2.771260997,2.761485826,2.771260997,2.781036168,2.785923754,2.790811339,2.795698925,2.810361681,2.820136852,2.820136852,2.820136852,2.834799609,2.839687195,2.849462366,2.859237537,2.864125122,2.869012708,2.878787879,2.878787879,2.878787879,2.903225806,2.917888563,2.898338221,2.898338221
9,2,2.697947214,2.737047898,2.785923754,2.805474096,2.810361681,2.80058651,2.80058651,2.825024438,2.849462366,2.683284457,2.65884653,2.653958944,2.595307918,2.639296188,2.624633431,2.605083089,2.600195503,2.585532747,2.609970674,2.629521017,2.639296188,2.653958944,2.668621701,2.668621701,2.65884653,2.653958944,2.649071359,2.644183773,2.649071359,2.663734115,2.683284457,2.688172043,2.7028348,2.697947214,2.707722385,2.732160313,2.75659824,2.771260997,2.810361681,2.829912023,2.893450635,2.966764418,2.981427175,2.996089932,3.000977517,2.961876833,2.878787879,2.781036168,2.737047898,2.815249267,3.812316716,4.408602151,4.516129032,4.706744868,4.428152493,5,4.384164223,3.988269795,4.032258065,3.99315738,3.587487781,4.486803519,3.94916911,4.257086999,3.357771261,3.206256109,3.049853372,3.494623656,3.94916911,3.294232649,3.880742913,3.690127077,4.252199413,4.755620723,4.750733138,5,5,4.418377322,4.002932551,3.57771261,4.330400782,3.714565005,4.051808407,4.403714565,3.919843597,4.071358749,3.567937439,3.470185728,3.685239492,3.426197458,3.235581623,3.196480938,3.230694037,3.323558162,3.514173998,3.802541544,4.022482893,5,4.760508309,3.905180841,3.43597263,2.917888563,2.478005865,2.204301075,1.847507331,2.238514174,2.218963832,2.140762463,2.135874878,2.135874878,2.086999022,2.116324536,2.126099707,2.101661779,2.126099707,2.184750733,2.174975562,2.189638319,2.184750733,2.160312805,2.170087977,2.233626588,2.277614858,2.287390029,2.277614858,2.262952102,2.228739003,2.238514174,2.253176931,2.292277615,2.306940371,2.311827957,2.306940371,2.370478983,2.306940371,2.258064516,2.233626588,2.15542522,2.150537634,2.150537634,2.287390029,2.302052786,2.24340176,2.228739003,2.24340176,2.258064516,2.248289345,2.228739003,2.223851417,2.331378299,2.360703812
10,2,2.81737246,2.976838547,2.739772908,2.834697556,2.721226399,2.964631222,2.978235594,2.881338569,2.849041406,2.846371147,3.020692971,2.693331432,3.038963495,2.993381684,2.955151182,2.871029682,2.833538722,2.929762769,2.939654802,2.662599856,2.773189822,2.721601266,2.839918786,2.989145817,2.732480401,2.887432638,2.987305294,2.905018805,3.00008214,2.902842029,3.029350069,2.948427806,2.830313819,2.845921253,2.890746041,2.980043192,2.758573774,3.041625883,2.845894993,2.687364607,2.674940822,2.711905207,3.024841261,2.750202122,2.689671578,3.024805614,2.732604564,2.917698128,3.001275395,2.959576254,3.757436653,3.682054252,3.479779924,4.218569125,4.695248077,4.901964953,4.064674308,4.345806626,4.987441839,4.26278284,4.098438877,4.017093475,4.532889647,3.578537572,4.078479891,4.403498582,3.538347156,4.973393353,4.301817402,4.830495332,4.067415097,4.9937526,4.619518999,4.384883705,3.315627009,4.686414468,4.964774463,3.319375627,4.943142555,3.517260639,4.003912057,4.074872982,4.653263303,3.623397142,3.521084459,4.776110867,4.09610165,4.269513335,4.693150804,4.401359159,4.202221581,4.916426327,4.041459307,4.981269761,4.310933018,4.306361189,3.76178429,4.145725883,4.752160679,4.825473451,4.232597488,2.840751832,2.736922346,2.842812696,2.787683552,2.692260676,2.822805425,2.723591035,2.952719144,2.726629044,2.744399771,2.889085706,2.917995767,2.749488054,2.668671158,3.02654526,2.752292901,2.768496859,2.666987387,2.807025285,2.844726364,2.659978074,2.914937778,2.829264708,2.811372614,2.977446467,2.878549884,2.800053888,2.928250046,2.870622437,2.651685998,2.820662321,2.779853863,2.69484955,2.692605486,2.728972036,2.814394581,2.739663822,2.828381753,2.764540706,2.836343048,2.791590356,2.754065972,2.778896764,2.743838308,2.770071097,2.749192899,2.805946993,3.032967424,2.836755826,2.967426901
