SNo.,Weight (in Kg),t0,t1,t2,t3,t4,t5,t6,t7,t8,t9,t10,t11,t12,t13,t14,t15,t16,t17,t18,t19,t20,t21,t22,t23,t24,t25,t26,t27,t28,t29,t30,t31,t32,t33,t34,t35,t36,t37,t38,t39,t40,t41,t42,t43,t44,t45,t46,t47,t48,t49,t50,t51,t52,t53,t54,t55,t56,t57,t58,t59,t60,t61,t62,t63,t64,t65,t66,t67,t68,t69,t70,t71,t72,t73,t74,t75,t76,t77,t78,t79,t80,t81,t82,t83,t84,t85,t86,t87,t88,t89,t90,t91,t92,t93,t94,t95,t96,t97,t98,t99,t100,t101,t102,t103,t104,t105,t106,t107,t108,t109,t110,t111,t112,t113,t114,t115,t116,t117,t118,t119,t120,t121,t122,t123,t124,t125,t126,t127,t128,t129,t130,t131,t132,t133,t134,t135,t136,t137,t138,t139,t140,t141,t142,t143,t144,t145,t146,t147,t148,t149,t150
1,2,3.040078201,3.069403715,3.0742913,3.035190616,3.025415445,3.03030303,3.088954057,3.093841642,3.054740958,3.069403715,3.108504399,3.040078201,3.064516129,3.064516129,3.020527859,2.976539589,3.025415445,2.986314761,3.049853372,3.015640274,3.044965787,3.035190616,3.054740958,2.986314761,3.025415445,3.005865103,2.986314761,3.010752688,2.996089932,2.961876833,2.991202346,2.942326491,2.981427175,2.976539589,2.961876833,3.020527859,2.966764418,3.03030303,3.010752688,3.054740958,3.093841642,3.113391984,3.079178886,3.054740958,3.069403715,3.108504399,3.064516129,3.108504399,3.11827957,3.079178886,3.62170088,4.393939394,4.477028348,4.413489736,4.472140762,4.550342131,4.45259042,4.579667644,4.428152493,4.521016618,4.652981427,4.447702835,4.467253177,4.589442815,4.555229717,4.379276637,4.447702835,4.594330401,4.672531769,4.437927664,4.589442815,4.413489736,4.579667644,4.481915934,4.45259042,4.516129032,4.54056696,4.437927664,4.599217986,4.467253177,4.428152493,4.49657869,4.579667644,4.437927664,4.403714565,4.599217986,4.569892473,4.423264907,4.613880743,4.599217986,4.535679374,4.599217986,4.662756598,4.58455523,4.418377322,4.457478006,4.472140762,4.721407625,4.472140762,4.45259042,4.662756598,4.467253177,4.565004888,4.677419355,4.442815249,4.477028348,4.271749756,4.154447703,4.076246334,3.778103617,3.602150538,3.367546432,3.313782991,3.172043011,3.235581623,3.264907136,3.181818182,3.299120235,3.211143695,3.240469208,3.289345064,3.225806452,3.230694037,3.299120235,3.318670577,3.240469208,3.274682307,3.264907136,3.230694037,3.211143695,3.142717498,3.152492669,3.128054741,3.147605083,3.240469208,3.225806452,3.220918866,3.274682307,3.230694037,3.240469208,3.191593353,3.216031281,3.216031281,3.211143695,3.176930596,3.172043011,3.216031281,3.176930596,3.250244379,3.216031281,3.196480938
2,2,3.362658847,3.333333333,3.313782991,3.382209189,3.39198436,3.396871945,3.465298143,3.387096774,3.445747801,3.445747801,3.450635386,3.450635386,3.426197458,3.465298143,3.377321603,3.450635386,3.475073314,3.455522972,3.479960899,3.406647116,3.411534702,3.484848485,3.470185728,3.43597263,3.401759531,3.323558162,3.367546432,3.362658847,3.313782991,3.333333333,3.362658847,3.318670577,3.250244379,3.269794721,3.289345064,3.269794721,3.230694037,3.206256109,3.26001955,3.235581623,3.211143695,3.230694037,3.250244379,3.147605083,3.333333333,2.88856305,3.479960899,3.699902248,3.861192571,4.213098729,4.144672532,4.12512219,4.320625611,4.261974585,4.217986315,4.227761486,4.208211144,4.198435973,4.26686217,4.330400782,4.320625611,4.2228739,4.237536657,4.320625611,4.169110459,4.213098729,4.257086999,4.433040078,4.169110459,4.340175953,4.257086999,4.276637341,4.086021505,4.242424242,4.208211144,4.26686217,4.198435973,4.26686217,4.227761486,4.208211144,4.159335288,4.349951124,4.208211144,4.144672532,4.271749756,4.17888563,3.983382209,4.237536657,4.252199413,4.2228739,4.213098729,4.095796676,4.076246334,4.198435973,4.291300098,4.120234604,4.154447703,4.247311828,4.164222874,3.998044966,4.051808407,4.090909091,3.841642229,3.836754643,3.836754643,3.782991202,3.299120235,3.225806452,3.113391984,3.269794721,3.338220919,3.206256109,3.328445748,3.323558162,3.294232649,3.377321603,3.343108504,3.352883675,3.313782991,3.357771261,3.289345064,3.299120235,3.299120235,3.377321603,3.333333333,3.245356794,3.250244379,3.299120235,3.289345064,3.26001955,3.264907136,3.26001955,3.245356794,3.333333333,3.216031281,3.26001955,3.289345064,3.294232649,3.240469208,3.216031281,3.196480938,3.235581623,3.274682307,3.196480938,3.220918866,3.206256109,3.167155425,3.240469208,3.250244379,3.176930596,3.196480938
3,2,3.274682307,3.255131965,3.30400782,3.294232649,3.235581623,3.396871945,3.362658847,3.401759531,3.367546432,3.416422287,3.264907136,3.294232649,3.338220919,3.289345064,3.245356794,3.264907136,3.269794721,3.372434018,3.26001955,3.323558162,3.343108504,3.30400782,3.269794721,3.245356794,3.387096774,3.279569892,3.328445748,3.323558162,3.284457478,3.299120235,3.191593353,3.279569892,3.26001955,3.245356794,3.157380254,3.240469208,3.157380254,3.216031281,3.108504399,3.181818182,3.191593353,3.108504399,3.240469208,3.093841642,3.142717498,3.059628543,3.015640274,2.922776149,2.961876833,3.264907136,3.328445748,3.592375367,4.061583578,4.188660802,4.227761486,4.2228739,4.237536657,4.086021505,4.198435973,4.247311828,4.159335288,4.315738025,4.208211144,4.203323558,4.232649071,4.26686217,4.154447703,4.198435973,4.232649071,4.149560117,4.149560117,4.257086999,4.188660802,4.232649071,4.144672532,4.144672532,4.305962854,4.144672532,4.173998045,4.296187683,4.247311828,4.139784946,4.193548387,4.203323558,4.183773216,4.281524927,4.31085044,4.213098729,4.271749756,4.257086999,4.213098729,4.301075269,4.242424242,4.281524927,4.173998045,4.257086999,4.183773216,4.159335288,4.105571848,4.066471163,3.861192571,3.822091887,3.39198436,3.582600196,3.53372434,3.377321603,3.475073314,3.294232649,3.372434018,3.396871945,3.401759531,3.455522972,3.382209189,3.484848485,3.514173998,3.48973607,3.475073314,3.426197458,3.48973607,3.465298143,3.455522972,3.499511241,3.426197458,3.48973607,3.440860215,3.445747801,3.387096774,3.470185728,3.431085044,3.528836755,3.431085044,3.494623656,3.479960899,3.465298143,3.406647116,3.372434018,3.426197458,3.406647116,3.426197458,3.484848485,3.450635386,3.48973607,3.548387097,3.460410557,3.372434018,3.416422287,3.431085044,3.455522972,3.328445748,3.289345064,3.235581623
4,2,2.727272727,2.414467253,2.438905181,2.443792766,2.448680352,2.458455523,2.424242424,2.419354839,2.448680352,2.443792766,2.424242424,2.453567937,2.497556207,2.507331378,2.512218964,2.531769306,2.468230694,2.482893451,2.478005865,2.492668622,2.438905181,2.434017595,2.394916911,2.458455523,2.453567937,2.448680352,2.404692082,2.404692082,2.404692082,2.390029326,2.38514174,2.360703812,2.38514174,2.350928641,2.370478983,2.375366569,2.302052786,2.34115347,2.346041056,2.326490714,2.326490714,2.336265885,2.331378299,2.292277615,2.2971652,2.365591398,2.321603128,2.306940371,2.321603128,2.380254154,2.65884653,3.128054741,4.032258065,4.359726295,3.651026393,3.509286413,3.479960899,3.494623656,3.567937439,3.519061584,3.475073314,3.509286413,3.401759531,3.475073314,3.460410557,3.357771261,3.43597263,3.426197458,3.411534702,3.445747801,3.43597263,3.396871945,3.367546432,3.396871945,3.396871945,3.264907136,3.372434018,3.269794721,3.338220919,3.396871945,3.357771261,3.421309873,3.313782991,3.460410557,3.279569892,3.362658847,3.269794721,3.274682307,3.250244379,3.216031281,3.264907136,3.235581623,3.250244379,3.279569892,3.284457478,3.352883675,3.372434018,3.318670577,3.357771261,3.284457478,3.299120235,3.196480938,3.186705767,3.211143695,3.147605083,2.761485826,2.795698925,2.761485826,2.878787879,2.859237537,2.815249267,2.805474096,2.790811339,2.781036168,2.737047898,2.839687195,2.84457478,2.810361681,2.864125122,2.922776149,2.893450635,2.917888563,2.947214076,2.883675464,2.883675464,2.913000978,2.898338221,2.898338221,2.927663734,2.88856305,2.869012708,2.952101662,2.942326491,2.903225806,2.88856305,2.913000978,2.93255132,2.908113392,2.942326491,2.878787879,2.917888563,2.903225806,2.966764418,2.903225806,2.971652004,2.927663734,2.878787879,2.971652004,2.917888563,2.849462366,2.869012708
5,2,2.482893451,2.521994135,2.565982405,2.531769306,2.551319648,2.575757576,2.663734115,2.61485826,2.575757576,2.600195503,2.595307918,2.565982405,2.565982405,2.585532747,2.600195503,2.575757576,2.580645161,2.575757576,2.575757576,2.609970674,2.57086999,2.600195503,2.634408602,2.585532747,2.600195503,2.585532747,2.590420332,2.565982405,2.512218964,2.487781036,2.546432063,2.551319648,2.609970674,2.746823069,2.693059629,2.737047898,2.649071359,2.722385142,2.707722385,2.727272727,2.732160313,2.75659824,2.761485826,2.84457478,2.854349951,2.820136852,2.820136852,2.839687195,2.820136852,2.854349951,2.917888563,3.079178886,3.338220919,3.230694037,3.567937439,3.758553275,3.900293255,3.743890518,3.792766373,3.831867058,3.758553275,3.880742913,3.748778104,3.680351906,3.910068426,3.822091887,3.739002933,3.71945259,3.836754643,3.680351906,3.690127077,3.709677419,3.817204301,3.80742913,3.680351906,3.80742913,3.836754643,3.758553275,3.773216031,3.778103617,3.76344086,3.787878788,3.748778104,3.773216031,3.817204301,3.792766373,3.739002933,3.646138807,3.773216031,3.660801564,3.778103617,3.778103617,3.714565005,3.80742913,3.641251222,3.826979472,3.76344086,3.71945259,3.734115347,3.875855327,3.778103617,3.71945259,3.866080156,3.76344086,3.880742913,3.802541544,3.690127077,3.460410557,3.264907136,3.318670577,3.465298143,3.460410557,3.382209189,3.313782991,3.313782991,3.323558162,3.269794721,3.338220919,3.137829912,2.976539589,2.908113392,2.971652004,2.991202346,2.981427175,2.981427175,2.961876833,2.966764418,2.947214076,2.942326491,2.971652004,2.937438905,2.942326491,2.952101662,2.922776149,2.908113392,2.869012708,2.849462366,2.834799609,2.820136852,2.84457478,2.84457478,2.869012708,2.849462366,2.854349951,2.810361681,2.820136852,2.795698925,2.805474096,2.829912023,2.810361681,2.795698925
6,2,2.913000978,2.913000978,2.986314761,2.873900293,2.966764418,2.917888563,2.976539589,2.966764418,2.922776149,2.971652004,2.908113392,2.93255132,2.917888563,2.898338221,2.952101662,2.854349951,2.854349951,2.785923754,2.869012708,2.854349951,2.84457478,2.761485826,2.864125122,2.854349951,2.810361681,2.854349951,2.88856305,2.84457478,2.815249267,2.903225806,2.854349951,2.93255132,2.815249267,2.805474096,2.785923754,2.834799609,2.75659824,2.810361681,2.84457478,2.849462366,2.776148583,2.84457478,2.849462366,2.825024438,2.761485826,2.785923754,2.829912023,2.795698925,2.834799609,2.820136852,2.815249267,2.834799609,2.88856305,2.80058651,3.064516129,3.748778104,4.154447703,4.203323558,3.939393939,4.022482893,4.056695992,4.017595308,4.359726295,3.988269795,4.286412512,4.217986315,4.271749756,4.208211144,4.173998045,4.120234604,4.17888563,4.154447703,4.203323558,4.017595308,4.183773216,4.17888563,4.095796676,4.227761486,4.208211144,4.051808407,4.051808407,4.086021505,4.046920821,4.03714565,4.17888563,4.08113392,4.169110459,3.905180841,4.130009775,3.968719453,4.086021505,4.042033236,3.968719453,4.139784946,3.905180841,4.066471163,3.900293255,3.99315738,4.090909091,3.958944282,3.968719453,4.100684262,3.958944282,3.924731183,3.954056696,3.778103617,3.602150538,3.509286413,3.299120235,2.88856305,2.75659824,2.737047898,2.820136852,2.829912023,2.873900293,2.781036168,2.722385142,2.639296188,2.595307918,2.644183773,2.678396872,2.609970674,2.634408602,2.688172043,2.683284457,2.7028348,2.649071359,2.712609971,2.605083089,2.693059629,2.634408602,2.644183773,2.600195503,2.605083089,2.619745846,2.649071359,2.649071359,2.619745846,2.590420332,2.693059629,2.683284457,2.639296188,2.663734115,2.693059629,2.605083089,2.644183773,2.551319648,2.561094819,2.624633431,2.536656891,2.565982405
7,2,2.908113392,2.859237537,2.805474096,2.776148583,2.761485826,2.732160313,2.737047898,2.751710655,2.805474096,2.785923754,2.820136852,2.913000978,2.898338221,2.883675464,2.883675464,2.869012708,2.84457478,2.854349951,2.834799609,2.849462366,2.864125122,2.854349951,2.854349951,2.790811339,2.815249267,2.815249267,2.810361681,2.80058651,2.834799609,2.781036168,2.790811339,2.790811339,2.771260997,2.795698925,2.781036168,2.75659824,2.766373412,2.712609971,2.717497556,2.7028348,2.693059629,2.727272727,2.761485826,2.766373412,2.785923754,2.781036168,2.790811339,2.785923754,2.785923754,2.829912023,3.16226784,3.48973607,3.704789834,4.828934506,4.58455523,5,4.662756598,4.252199413,4.213098729,4.369501466,4.261974585,4.173998045,4.335288368,4.301075269,4.320625611,4.261974585,4.144672532,4.271749756,4.261974585,4.247311828,4.340175953,4.066471163,4.217986315,4.257086999,4.164222874,4.17888563,4.2228739,4.281524927,4.095796676,4.188660802,4.31085044,4.154447703,4.183773216,4.115347019,4.193548387,4.198435973,4.154447703,4.130009775,4.149560117,3.998044966,4.071358749,3.988269795,4.149560117,3.99315738,4.110459433,3.929618768,3.968719453,3.919843597,3.988269795,3.812316716,3.929618768,3.929618768,4.032258065,3.924731183,3.919843597,4.027370479,3.861192571,3.714565005,3.191593353,3.235581623,3.191593353,3.343108504,3.172043011,2.93255132,2.966764418,2.971652004,3.025415445,3.010752688,2.996089932,3.015640274,2.942326491,2.908113392,2.917888563,2.893450635,2.903225806,2.917888563,2.893450635,2.878787879,2.913000978,2.922776149,2.903225806,2.898338221,2.952101662,2.956989247,2.898338221,2.913000978,2.893450635,2.937438905,2.878787879,2.913000978,2.864125122,2.908113392,2.922776149,2.942326491,2.927663734,2.869012708,2.883675464,2.883675464,2.908113392,2.849462366,2.898338221
8,2,3.108504399,3.044965787,3.054740958,2.991202346,2.991202346,2.996089932,2.971652004,2.996089932,3.054740958,3.093841642,3.059628543,3.103616813,3.059628543,3.098729228,3.035190616,3.084066471,3.113391984,3.064516129,3.11827957,3.172043011,3.113391984,3.176930596,3.16226784,3.157380254,3.201368524,3.191593353,3.172043011,3.176930596,3.181818182,3.142717498,3.191593353,3.201368524,3.191593353,3.211143695,3.240469208,3.206256109,3.201368524,3.191593353,3.147605083,3.152492669,3.172043011,3.128054741,3.167155425,3.191593353,3.152492669,3.16226784,3.172043011,3.157380254,3.132942326,3.377321603,3.812316716,4.804496579,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4.780058651,4.325513196,3.968719453,3.225806452,3.494623656,3.460410557,3.592375367,3.450635386,3.48973607,3.479960899,3.514173998,3.475073314,3.499511241,3.396871945,3.465298143,3.479960899,3.479960899,3.509286413,3.450635386,3.592375367,3.558162268,3.558162268,3.494623656,3.523949169,3.475073314,3.43597263,3.455522972,3.509286413,3.431085044,3.450635386,3.43597263,3.416422287,3.445747801,3.39198436,3.411534702,3.401759531,3.445747801,3.34799609,3.401759531,3.387096774,3.377321603,3.26001955
9,2,2.795698925,2.849462366,2.873900293,2.893450635,2.859237537,2.839687195,2.839687195,2.829912023,2.854349951,2.927663734,2.908113392,2.859237537,2.859237537,2.869012708,2.829912023,2.825024438,2.864125122,2.839687195,2.88856305,2.825024438,2.908113392,2.883675464,2.917888563,2.903225806,2.922776149,2.922776149,2.883675464,2.922776149,2.908113392,2.903225806,2.956989247,2.952101662,2.893450635,2.893450635,2.903225806,2.893450635,2.878787879,2.834799609,2.839687195,2.869012708,2.864125122,2.878787879,2.903225806,2.854349951,2.883675464,2.878787879,2.805474096,2.908113392,2.893450635,2.898338221,2.873900293,2.913000978,2.893450635,2.898338221,3.049853372,3.71945259,4.100684262,4.203323558,4.35483871,4.252199413,4.271749756,4.325513196,4.457478006,4.296187683,4.389051808,4.35483871,4.252199413,4.213098729,4.349951124,4.349951124,4.516129032,4.305962854,4.315738025,4.325513196,4.555229717,4.418377322,4.305962854,4.325513196,4.442815249,4.252199413,4.271749756,4.208211144,4.359726295,4.237536657,4.389051808,4.364613881,4.26686217,4.477028348,4.261974585,4.418377322,4.291300098,4.26686217,4.164222874,4.403714565,4.2228739,4.281524927,4.276637341,4.418377322,4.325513196,4.247311828,4.428152493,4.271749756,4.467253177,4.237536657,4.286412512,4.418377322,4.086021505,3.709677419,3.631476051,3.494623656,3.333333333,3.440860215,3.220918866,3.235581623,3.201368524,3.157380254,3.186705767,3.191593353,3.152492669,3.196480938,3.167155425,3.152492669,3.181818182,3.16226784,3.059628543,3.098729228,3.064516129,3.015640274,2.952101662,3.123167155,3.069403715,3.11827957,3.108504399,3.186705767,3.245356794,3.294232649,3.323558162,3.113391984,3.132942326,3.191593353,3.142717498,2.908113392,3.123167155,3.084066471,3.108504399,3.108504399,3.132942326,3.152492669,3.167155425,3.186705767,3.167155425
10,2,3.797653959,3.968719453,3.822091887,3.841642229,3.866080156,3.900293255,3.841642229,3.826979472,3.866080156,3.900293255,3.963831867,4.007820137,3.89540567,4.002932551,3.99315738,3.924731183,3.958944282,3.958944282,3.983382209,3.89540567,3.792766373,3.782991202,3.748778104,3.778103617,3.685239492,3.724340176,3.641251222,3.675464321,3.655913978,3.724340176,3.699902248,3.675464321,3.636363636,3.690127077,3.660801564,3.670576735,3.739002933,3.695014663,3.655913978,3.71945259,3.753665689,3.660801564,3.675464321,3.870967742,3.89540567,4.305962854,4.745845552,4.921798631,4.990224829,4.775171065,5,4.897360704,5,4.921798631,5,4.902248289,5,4.936461388,4.907135875,5,4.990224829,4.951124145,4.936461388,5,5,5,4.951124145,5,4.960899316,5,5,5,5,5,5,5,5,5,5,5,5,5,4.985337243,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4.887585533,5,5,5,5,5,5,5,5,4.506353861,3.890518084,3.685239492,3.455522972,3.450635386,3.475073314,3.553274682,3.660801564,3.709677419,3.778103617,3.817204301,3.792766373,3.812316716,3.802541544,3.773216031,3.831867058,3.880742913,3.817204301,3.753665689,3.704789834,3.670576735,3.690127077,3.641251222,3.655913978,3.528836755,3.826979472,3.592375367,3.48973607,3.519061584,3.519061584,3.636363636,3.607038123,3.660801564,3.519061584,3.563049853,3.553274682,3.553274682,3.528836755,3.553274682,3.450635386,3.367546432
